2023-10-09 09:45:00,SI,21.85,21.85,21.82,21.825
2023-10-09 09:45:00,SPX,4299.21,4301.27,4298.8,4299.77
2023-10-09 09:46:00,DJI,33382.96,33385.6,33378.77,33379.67
2023-10-09 09:46:00,GC,1861.1,1861.1,1858.8,1859.7
2023-10-09 09:46:00,NDX,14898.93,14899.35,14885.44,14891.24
2023-10-09 09:46:00,SI,21.82,21.82,21.77,21.785
2023-10-09 09:46:00,SPX,4299.77,4299.97,4298.05,4298.89
2023-10-09 09:47:00,DJI,33380.56,33388.42,33355.53,33359.67
2023-10-09 09:47:00,GC,1859.6,1859.8,1858.7,1859
2023-10-09 09:47:00,NDX,14891.72,14892.89,14887.4,14891.62
2023-10-09 09:47:00,SI,21.78,21.815,21.78,21.795
2023-10-09 09:47:00,SPX,4299.05,4299.18,4296.71,4296.88
2023-10-09 09:48:00,DJI,33360.27,33362.36,33354.01,33360.65
2023-10-09 09:48:00,GC,1859.1,1859.5,1859,1859.2
2023-10-09 09:48:00,NDX,14891.67,14911.42,14891.09,14911.16
2023-10-09 09:48:00,SI,21.795,21.805,21.79,21.8
2023-10-09 09:48:00,SPX,4296.89,4299.21,4296.64,4299.21
2023-10-09 09:49:00,DJI,33360.58,33368.05,33356.93,33359.55
2023-10-09 09:49:00,GC,1859.2,1859.6,1859,1859.6
2023-10-09 09:49:00,NDX,14911.79,14922.44,14911.63,14921.74
2023-10-09 09:49:00,SI,21.805,21.805,21.79,21.805
2023-10-09 09:49:00,SPX,4299.26,4300.77,4299.26,4300.4
2023-10-09 09:50:00,DJI,33359.37,33362.84,33347.37,33359.15
2023-10-09 09:50:00,GC,1859.6,1859.9,1859.1,1859.9
2023-10-09 09:50:00,NDX,14922.02,14924.75,14914.84,14914.84
2023-10-09 09:50:00,SI,21.805,21.815,21.8,21.81
2023-10-09 09:50:00,SPX,4300.44,4301.19,4299.23,4299.5
2023-10-09 09:51:00,DJI,33359.65,33360.31,33349.62,33356.09
2023-10-09 09:51:00,GC,1860,1860.1,1859.3,1859.5
2023-10-09 09:51:00,NDX,14914.46,14914.46,14900.54,14904.22
2023-10-09 09:51:00,SI,21.815,21.82,21.795,21.805
